Name,Country,Position,Age,Overall_Rating,Future Potential,Team,Value Per M$,Total_Stats Score
Reinildo Isnard Mandava,Mozambique,CB,28,80,80,Atlético Madrid,19,2007
Denver Hume,England,LWB,23,63,67,Portsmouth,0.65,1578
Alfie Whiteman,England,GK,23,63,70,Tottenham Hotspur,0.825,974
Jayson Molumby,Republic of Ireland,CM,22,71,78,West Bromwich Albion,3.6,1752
Kevin Csoboth,Hungary,LW,22,63,72,Hungary,0,1529
Steven Alzate,Colombia,CDM,23,71,78,Standard Liège,3.7,1860
Robert Glatzel,Germany,ST,28,73,73,Hamburger SV,3.1,1644
Gerardo Arteaga,Mexico,LB,23,72,79,Genk,4.5,1856
Brandon Austin,England,GK,23,64,72,Tottenham Hotspur,1.1,966
Calvin Stengs,Netherlands,RM,23,73,78,Antwerp,4.6,1865
Pontus Almqvist,Sweden,RM,22,68,74,Pogoń Szczecin,2,1749
Fodé Ballo-Touré,Senegal,LM,25,72,75,Milan,2.9,1881
Antonín Barák,Czech Republic,CF,27,79,79,Fiorentina,18.5,2130
Tomáš Souček,Czech Republic,CM,27,79,80,West Ham United,18,2042
Jordan Torunarigha,Germany,LB,24,73,77,Gent,3.9,1765
Sean Longstaff,England,CM,24,77,81,Newcastle United,15,1980
Aaron Connolly,Republic of Ireland,ST,22,69,75,Hull City,2.3,1715
Emmanuel Latte Lath,Côte d'Ivoire,CF,23,67,74,St. Gallen,2.1,1674
Bryan Lasme,France,RM,23,68,75,DSC Arminia Bielefeld,2.4,1588
Nedim Bajrami,Albania,CM,23,76,80,Sassuolo,11,1961
Daniel Muñoz,Colombia,CB,26,77,78,Genk,11.5,2026
Santiago Bueno,Uruguay,CB,23,75,81,Girona,8,1609
Josh Bowler,England,LM,23,70,74,Blackpool,2.3,1692
Hiroki Abe,Japan,RW,23,63,69,FC Barcelona,0.75,1620
Petar Pušić,Switzerland,LB,23,67,73,Grasshopper,1.6,1794
Callum O'Hare,England,ST,24,73,78,Coventry City,4.6,1968
Dujon Sterling,England,LWB,22,68,73,Stoke City,1.7,1682
Merih Demiral,Turkey,CB,24,77,81,Atalanta,13.5,1705
Michael Richard Delgado de Oliveira,Brazil,RW,26,76,76,Al Hilal,8,1770
Gédéon Kalulu,Congo DR,LB,24,72,77,Lorient,3.3,1789
Rodrigo Nascimento França,Brazil,CB,26,76,79,Udinese,8.5,1567
Steffen Tigges,Germany,ST,23,69,73,FC Köln,2,1663
Wilson Miguéis Manafá Jancó,Portugal,LB,27,73,73,Porto,2.9,1914
Pietro Pellegri,Italy,ST,21,68,75,Torino,2.5,1562
Ibrahima Niane,Senegal,ST,23,72,76,Angers SCO,3.4,1686
Pascal Struijk,Netherlands,LB,22,75,81,Leeds United,8,1743
Nemanja Maksimović,Serbia,CDM,27,79,79,Getafe,18.5,2039
Tim Handwerker,Germany,LB,24,70,74,Nürnberg,2.1,1807
Matteo Pessina,Italy,CF,25,78,81,Monza,18.5,2048
Max Christiansen,Germany,CM,25,69,72,SpVgg Greuther Fürth,1.7,1802
Pape Cheikh Diop,Senegal,CM,24,69,74,Elche,1.9,1794
Frédéric Guilbert,France,RWB,27,76,76,Strasbourg,7,1897
Lukáš Haraslín,Slovakia,LM,26,75,76,Sparta Praha,6.5,1895
Lukas Fröde,Germany,CB,27,69,70,Hansa Rostock,1.4,1695
Simon Deli,Côte d'Ivoire,CB,30,72,72,İstanbulspor,1.9,1721
Hamza Choudhury,England,CM,24,72,75,Watford,2.9,1809
Connor Ronan,Republic of Ireland,CAM,24,68,72,Colorado Rapids,1.7,1809
Emil Audero,Italy,GK,25,79,82,Sampdoria,18,1189
Lucas Martínez Quarta,Argentina,CB,26,76,79,Fiorentina,8.5,1963
Bruno Valdez,Paraguay,RB,29,74,74,Boca Juniors,3.5,1725
Matías Vargas,Argentina,ST,25,76,76,Shanghai Port,8.5,1941
Benedikt Gimber,Germany,CM,25,71,74,Jahn Regensburg,2.2,1726
Antonee Robinson,United States,LWB,24,76,77,Fulham,8.5,1923
Mykola Matvienko,Ukraine,LB,26,74,77,Shakhtar Donetsk,4.9,1836
Dael Fry,England,CB,24,73,77,Middlesbrough,3.9,1599
César Montes,Mexico,CB,25,78,83,Espanyol,18.5,1831
Falaye Sacko,Mali,CB,27,75,75,Montpellier,5.5,1870
Juan Heberto Mestres de Mesquita,Brazil,CDM,26,81,81,Atlético Mineiro,24.5,2003
Luis David Couprins Acuna,Brazil,CM,22,73,73,Athletico Paranaense,3.2,1945
Yannick Deichmann,Germany,RB,27,65,65,1860 München,0.75,1853
Amadou Diawara,Guinea,CM,24,72,75,Anderlecht,2.9,1815
Saviour Godwin,Nigeria,LW,25,73,73,Casa Pia,3.4,1825
Chiedozie Ogbene,Republic of Ireland,RWB,25,70,72,Rotherham United,2,1902
Christian Bassogog,Cameroon,RW,26,74,74,Shanghai Shenhua,4.7,1919
Romain Perraud,France,LB,24,75,79,Southampton,7.5,2064
Jonathan Leko,England,LW,23,64,67,Milton Keynes Dons,0.8,1643
Aitor Cantalapiedra,Spain,RW,26,75,75,Panathinaikos,6,1819
Scott Wharton,England,CB,24,70,75,Blackburn Rovers,2.2,1610
Keinan Davis,England,ST,24,72,77,Watford,3.6,1758
Abdülkadir Ömür,Turkey,CAM,23,75,80,Trabzonspor,8.5,1945
Álvaro Tejero Sacristán,Spain,RB,25,72,75,SD Eibar,2.9,1969
Mitchell van Bergen,Netherlands,ST,22,71,76,Stade de Reims ,2.9,1732
Saman Ghoddos,Iran,LM,28,68,68,Brentford,1.2,1850
Seung Woo Lee,Korea Republic,CAM,24,66,68,Suwon,1.1,1657
Mateusz Lis,Poland,GK,25,73,77,Troyes,3.3,981
Amine Harit,Morocco,CF,25,76,79,Olympique de Marseille,10,1803
Sébastien Salles-Lamonge,France,CAM,26,68,69,Bastia,1.4,1803
Timothy Fosu-Mensah,Netherlands,RB,24,72,76,Bayer 04 Leverkusen,3.1,1878
Kaan Kairinen,Finland,CM,23,72,78,Sparta Praha,3.7,1862
Jay Dasilva,England,LWB,24,69,73,Bristol City,1.9,1764
Dae Won Kim,Korea Republic,RW,25,73,74,Gangwon,3.6,1840
Tom Dele-Bashiru,Nigeria,LM,22,67,72,Watford,1.6,1841
Matt Smith,Wales,CM,22,64,73,Milton Keynes Dons,1.3,1787
Ko Itakura,Japan,CDM,25,77,80,Borussia Mönchengladbach,12.5,1836
Allan Campbell,Scotland,CDM,23,69,75,Luton Town,2.2,1935
Luis Sinisterra,Colombia,RM,23,78,82,Leeds United,20,2015
Lincoln Oliveira dos Santos,Brazil,LB,23,75,80,Fenerbahçe,8.5,2032
Pontus Dahlberg,Sweden,GK,23,65,72,IFK Göteborg,1.2,1020
Robin Bormuth,Germany,CB,26,68,69,Kaiserslautern,1.2,1493
Carlos Cuesta,Colombia,CB,23,74,81,Genk,8,1661
Eray Cömert,Switzerland,CB,24,74,79,Valencia,6,1839
Ronaldo Augusto Vieira Nan,England,CM,23,71,76,Torino,2.6,1888
Sebastián Villa,Colombia,RW,26,78,78,Boca Juniors,15.5,1884
Luis Abram,Peru,LB,26,73,74,Atlanta United,3.1,1731
Ross McCrorie,Scotland,RB,24,69,74,Aberdeen,1.9,1838
Gauthier Hein,France,CAM,25,70,71,Auxerre,1.9,1787
Johannes Eggestein,Germany,RW,24,69,72,St. Pauli,1.9,1798
Leonel Miranda,Argentina,CDM,28,74,74,Racing Club,4.2,2032
Pablo Pérez,Argentina,CDM,36,72,72,Newell's Old Boys,0.75,1986
Héctor Villalba,Paraguay,RW,27,71,71,Libertad,2,1880
Leonardo Sigali,Argentina,CB,35,78,78,Racing Club,3.7,1834
Federico Lértora,Argentina,CM,30,75,75,Colón,4.7,1982
Bartłomiej Drągowski,Poland,GK,24,77,80,Spezia,11,1227
Edimilson Fernandes,Switzerland,CM,26,73,75,FSV Mainz 05,3.3,1941
Luke O'Nien,England,CDM,27,69,70,Sunderland,1.4,1929
Maxwel Cornet,Côte d'Ivoire,CF,25,76,77,West Ham United,9,2104
Ignacio Fernández,Argentina,CAM,32,80,80,River Plate,16.5,2164
Marco Sportiello,Italy,GK,30,76,76,Atalanta,5,1261
Ander Capa Rodríguez,Spain,RB,30,75,75,Athletic Club,4.8,2069
Angus Gunn,Scotland,GK,26,73,77,Norwich City,3.3,1245
Alen Halilović,Croatia,CAM,25,69,72,Reading,1.8,1728
José Luis Morales Nogales,Spain,LM,34,79,79,Villarreal,8.5,2079
Léo Dubois,France,LB,27,75,75,Galatasaray,5.5,1970
Pablo Galdames,Chile,CAM,25,70,72,Cremonese,2,1930
Samuel Gigot,France,CB,28,78,79,Olympique de Marseille,13.5,1770
Néstor Camacho,Paraguay,LM,34,73,73,Guaraní,1.5,1850
Miguel Borja,Colombia,ST,29,76,76,River Plate,7.5,1853
Joel Pohjanpalo,Finland,ST,27,73,73,Venezia,3.3,1737
Óscar Romero,Paraguay,CM,29,77,77,Boca Juniors,10.5,2059
Aarón Escandell,Spain,GK,26,71,74,FC Cartagena,1.9,1227
Martin Dúbravka,Slovakia,GK,33,79,79,Newcastle United,5.5,1331
Deiver Machado,Colombia,LB,28,76,76,Lens,7,1978
Filip Jagiełło,Poland,CAM,24,70,74,Genoa,2.3,1896
Lovre Kalinić,Croatia,GK,32,74,74,Hajduk Split,2.1,1105
Jonathan Gradit,France,CB,29,76,76,Lens,6.5,1779
Miloš Veljković,Serbia,CB,26,73,74,Werder Bremen,3.1,1593
Luciano Acosta,Argentina,CAM,28,76,76,Cincinnati,7.5,1907
Jay Fulton,Scotland,CM,28,71,71,Swansea City,1.6,1820
Harry Lewis,England,GK,24,65,71,Bradford City,0.925,1252
Ally Gilchrist,Scotland,LB,25,60,66,Derry City,0.35,1529
Harry Winks,England,CDM,26,74,75,Sampdoria,4.9,1938
Freddie Woodman,England,GK,25,75,79,Preston North End,6,1191
Rúnar Alex Rúnarsson,Iceland,GK,27,71,73,Alanyaspor,1.7,1222
Franco Cervi,Argentina,RM,28,78,78,Celta de Vigo,14,1982
Zsolt Kalmár,Hungary,LM,27,74,75,Hungary,0,1893
Gustavo H. Furtado Scarpa,Brazil,LM,28,75,75,Nottingham Forest,5.5,1911
Gideon Jung,Germany,CDM,27,67,68,SpVgg Greuther Fürth,1,1652
Sandi Lovrič,Slovenia,CDM,24,73,78,Udinese,4.6,1858
Alexander Nübel,Germany,GK,25,78,83,Monaco,16.5,1211
Adam Marušić,Montenegro,RB,29,80,80,Lazio,18.5,2089
Marvin Schwäbe,Germany,GK,27,78,81,FC Köln,14,1350
Karl Toko Ekambi,Cameroon,LM,29,76,76,Rennes,7.5,1885
Joachim Andersen,Denmark,CB,26,78,81,Crystal Palace,16.5,1868
Emmanuel Boateng,Ghana,LM,26,73,76,Rio Ave,4,1920
Gaetano Castrovilli,Italy,CM,25,77,80,Fiorentina,14,1992
Cristo González Pérez,Spain,CAM,24,68,72,Sporting Gijón,1.8,1761
Alejandro Berenguer Remiro,Spain,RM,26,80,80,Athletic Club,23,2146
David García Zubiria,Spain,CB,28,81,82,Osasuna,24.5,1798
Eric Bailly,Côte d'Ivoire,CB,28,77,78,Olympique de Marseille,10,1791
Oliver Burke,Scotland,RW,25,69,72,Millwall,1.9,1768
Conor Chaplin,England,RW,25,69,70,Ipswich Town,1.7,1842
Ainsley Maitland-Niles,England,RB,24,73,75,Southampton,3.6,1932
Scott McKenna,Scotland,CB,25,73,78,Nottingham Forest,4,1539
Jordan Morris,United States,RM,27,72,72,Seattle Sounders,2.5,1878
Mahmoud Hassan,Egypt,LM,27,76,76,Trabzonspor,8,1866
Hee Chan Hwang,Korea Republic,ST,26,76,76,Wolverhampton Wanderers,8,1942
Jerry Yates,England,LW,25,70,73,Blackpool,2.1,1745
Will Keane,Republic of Ireland,LW,29,71,71,Wigan Athletic,1.9,1840
Danny da Costa,Germany,RM,28,74,74,FSV Mainz 05,3.8,1952
Aleix Vidal Parreu,Spain,RB,32,74,74,Espanyol,3.3,1979
Fernando Lucas Martins,Brazil,CM,30,78,78,Antalyaspor,12,2115
Alexander Schwolow,Germany,GK,30,73,73,Schalke 04,2,1126
Lawrence Thomas,Australia,GK,30,69,69,Western Sydney Wanderers,0.925,1208
Héctor Bellerín Moruno,Spain,RB,27,79,79,Sporting CP,17,1951
Damián Suárez,Uruguay,RM,34,77,77,Getafe,3.9,2095
John Brooks,United States,CB,29,76,76,TSG Hoffenheim,6.5,1665
Jores Okore,Denmark,CB,29,70,70,Changchun Yatai,1.3,1699
Marcus Bettinelli,England,GK,30,70,71,Chelsea,1.2,1115
Patrick Bauer,Germany,CB,29,68,68,Preston North End,1,1502
Renato Ibarra,Ecuador,RW,31,72,72,LDU Quito,1.9,1901
Kal Naismith,Scotland,LB,30,71,71,Bristol City,1.5,1954
Cristian Portugues Manzanera,Spain,LM,30,76,76,Getafe,7,2083
Karim Rekik,Netherlands,LB,27,77,79,Sevilla,11,1754
Edin Višća,Bosnia and Herzegovina,RW,32,80,80,Trabzonspor,16.5,2060
Marko Livaja,Croatia,ST,28,77,77,Hajduk Split,11,1997
Jed Wallace,England,CAM,28,75,75,West Bromwich Albion,5.5,1931
Jacob Murphy,England,LW,27,76,76,Newcastle United,8,1973
Isaac Hayden,England,CM,27,72,72,Norwich City,2.2,1804
Paul Nardi,France,GK,28,73,73,Gent,2.2,1142
Alassane Plea,France,LM,29,78,78,Borussia Mönchengladbach,14,2040
Will Hughes,England,CDM,27,74,74,Crystal Palace,4.5,1902
Adam Campbell,England,CAM,23,57,59,Morecambe,0.13,1520
Pablo Insua Blanco,Spain,CB,28,68,69,Sporting Gijón,1.1,1527
Luciano Vietto,Argentina,LW,28,74,74,Al Hilal,4.3,1949
Carlos Bacca,Colombia,ST,35,74,74,Junior,1.8,1792
Kaan Ayhan,Turkey,CB,27,72,72,Galatasaray,2.2,1906
Josef Martínez,Venezuela,ST,29,77,77,Inter Miami,10.5,1861
Anthony Jung,Germany,CB,30,73,73,Werder Bremen,2.6,1934
Joël Veltman,Netherlands,RB,30,78,78,Brighton & Hove Albion,11.5,1865
Dimitrios Pelkas,Greece,CF,28,73,73,Hull City,3.1,1906
Sergi Samper Montañá,Spain,CM,26,70,70,Vissel Kobe,1.5,1663
Davide Adorni,Italy,CB,29,69,69,Brescia,1.2,1675
Romain Saïss,Morocco,CDM,32,78,78,Beşiktaş,9,1932
Lukas Kübler,Germany,RM,29,75,75,SC Freiburg,4.9,1820
Emil Forsberg,Sweden,CF,30,80,80,RB Leipzig,20.5,1926
Andrea Belotti,Italy,ST,28,79,79,Roma,18,1925
Ricardo Barbosa Pereira,Portugal,RWB,28,80,80,Leicester City,19,2130
Jonathan Castro Otto,Spain,RWB,28,76,76,Wolverhampton Wanderers,7,1941
Juan Fernando Quintero,Colombia,RM,29,78,78,Junior,14,1944
Emerson Palmieri dos Santos,Italy,LB,27,77,77,West Ham United,10,2044
Valentino Lazaro,Austria,LM,26,74,75,Torino,4.5,2017
Nicolás Tagliafico,Argentina,LB,29,81,81,Olympique Lyonnais,22.5,2071
Mark Flekken,Netherlands,GK,29,81,81,SC Freiburg,17.5,1229
Kerem Demirbay,Germany,CAM,28,79,79,Bayer 04 Leverkusen,17.5,2128
Janik Haberer,Germany,CDM,28,75,75,FC Union Berlin,5.5,1950
Matt Grimes,England,CDM,26,72,73,Swansea City,2.7,1920
Nicolae Stanciu,Romania,RM,29,79,79,Wuhan Three Towns,17,2150
Alexander Djiku,Ghana,CB,27,75,77,Strasbourg,6,1842
Kenan Karaman,Turkey,LM,28,70,70,Schalke 04,1.6,1709
Ui Jo Hwang,Korea Republic,ST,29,77,77,Seoul,10.5,1960
Federico Bernardeschi,Italy,CAM,28,79,79,Toronto,17.5,2096
David Kinsombi,Germany,CDM,26,71,72,Sandhausen,2.2,1906
Gabriel Barbosa Almeida,Brazil,RW,22,81,85,Inter,23.5,1976
Awer Mabil,Australia,LW,26,70,70,Sparta Praha,1.7,1819
Wylan Cyprien,France,CAM,27,71,71,Sion,2,2024
Frank Acheampong,Ghana,LM,28,75,75,Shenzhen,6,2040
Luiz Gustavo Dias,Brazil,CM,34,76,76,Al Nassr,2.6,1963
Danny Welbeck,England,ST,31,75,75,Brighton & Hove Albion,4.8,1898
Ron-Robert Zieler,Germany,GK,33,74,74,Hannover 96,1.4,1173
Patrick van Aanholt,Netherlands,LB,31,75,75,PSV,4.1,2066
Juan Torres Ruiz,Spain,CB,32,70,70,Cádiz,1,1766
Bernardo Espinosa,Colombia,CB,32,73,73,Girona,2,1644
Sven Ulreich,Germany,GK,33,75,75,FC Bayern München,1.8,1139
Jefferson Montero,Ecuador,RM,32,66,66,Aucas,0.675,1720
Niall McGinn,Northern Ireland,LM,34,64,64,Northern Ireland,0,1736
Jason Steele,England,GK,31,69,69,Brighton & Hove Albion,0.75,1183
Kevin Trapp,Germany,GK,31,86,86,Eintracht Frankfurt,36,1254
Manuel Lanzini,Argentina,LM,29,77,77,West Ham United,10.5,1960
Giacomo Bonaventura,Italy,CAM,32,78,78,Fiorentina,11,2145
Yannick Bolasie,Congo DR,LW,32,71,71,Rizespor,1.5,1818
Salomón Rondón,Venezuela,ST,32,73,73,River Plate,2.5,1760
Danny Latza,Germany,CDM,32,70,70,Schalke 04,1.3,1919
Jack Wilshere,England,CDM,29,73,73,AGF,3,2013
Pedro Rodríguez Ledesma,Spain,LW,34,79,79,Lazio,8,1912
Thiago Alcântara,Spain,CM,31,85,85,Liverpool,44,2212
Wilfried Bony,Côte d'Ivoire,ST,33,71,71,Always Ready,1.2,1707
Oscar De Marcos Arana,Spain,RB,33,79,79,Athletic Club,9,2069
Sergio Canales Madrazo,Spain,LM,31,84,84,Real Betis,35,2216
Douglas Costa de Souza,Brazil,LW,29,80,80,FC Bayern München,20.5,2023
Kévin Théophile-Catherine,France,CB,32,69,69,Dinamo Zagreb,0.9,1818
Fidel Martínez,Ecuador,CF,32,74,74,Barcelona Guayaquil,3.3,1851
Nemanja Matić,Serbia,CM,33,80,80,Roma,10.5,1983
Maya Yoshida,Japan,CB,33,73,73,Schalke 04,1.5,1692
Ander Herrera Agüera,Spain,CDM,32,79,79,Athletic Club,14,2127
Valon Berisha,Kosovo,CDM,29,72,72,Melbourne City,2.3,2002
Chris Wood,New Zealand,ST,30,75,75,Nottingham Forest,5.5,1864
Roberto Pereyra,Argentina,RM,31,79,79,Udinese,14.5,2119
Alphonse Areola,France,GK,29,79,80,West Ham United,13.5,1384
Davy Pröpper,Netherlands,CDM,30,72,72,Vitesse,2.2,1945
Karl Darlow,England,GK,31,74,74,Hull City,2.2,1262
Asier Villalibre Molina,Spain,ST,24,72,77,Deportivo Alavés,3.6,1796
Conor Hourihane,Republic of Ireland,CDM,31,69,69,Derby County,1.1,1906
Serdar Gürler,Turkey,LM,30,72,72,İstanbul Başakşehir,2.3,1805
Mattia Perin,Italy,GK,29,79,80,Juventus,13.5,1245
Mark Gillespie,England,GK,30,66,66,Newcastle United,0.575,1115
Patrick Herrmann,Germany,RM,31,72,72,Borussia Mönchengladbach,1.9,1847
Leandro Bacuna,Curacao,RW,30,68,68,Watford,1,2005
James McClean,Republic of Ireland,LB,33,69,69,Wigan Athletic,0.725,1947
Nicolas Isimat-Mirin,France,CB,30,68,68,Vitesse,1,1503
Luis Muriel,Colombia,ST,31,80,80,Atalanta,18,1988
Ross Barkley,England,CM,28,74,74,Nice,4.2,1949
Jordi Masip López,Spain,GK,33,76,76,Real Valladolid,2.4,1339
Leandro González Pirez,Argentina,CB,30,73,73,River Plate,2.5,1840
Gernot Trauner,Austria,CB,30,79,79,Feyenoord,14.5,1950
Steven Berghuis,Netherlands,RW,30,82,82,Ajax,29.5,2056
Nacer Chadli,Belgium,LW,32,74,74,Westerlo,3.3,2000
Max Power,England,CDM,28,68,68,Wigan Athletic,1.2,1924
Jonson Clarke-Harris,Jamaica,ST,27,71,71,Peterborough United,2,1743
Riccardo Saponara,Italy,LW,30,77,77,Fiorentina,10,1881
Elvis Manu,Netherlands,ST,28,66,66,FC Groningen,0.85,1705
Jeison Murillo,Colombia,CB,30,71,71,Sampdoria,1.5,1752
Rafael Alcântara,Brazil,CAM,29,78,78,Paris Saint Germain,13.5,2092
Ahmed Musa,Nigeria,LM,29,70,70,Sivasspor,1.6,1743
Siyanda Xulu,South Africa,CB,28,68,69,South Africa,0,1812
Arjen Robben,Netherlands,CAM,36,79,79,FC Groningen,5.5,1947
Michael Carrick,England,CDM,35,79,79,Manchester United,3,1970
Sylvain Distin,France,CB,37,77,77,AFC Bournemouth,0,1679
Ronaldo de Assis Moreira,Brazil,ST,34,78,78,Querétaro,4.1,1875
Joaquín Sánchez Rodríguez,Spain,CAM,40,78,78,Real Betis,0,1921
Massimo Ambrosini,Italy,CM,36,74,74,Fiorentina,0,1957
Daniele De Rossi,Italy,CDM,35,82,82,Boca Juniors,7,2083
Wayne Rooney,England,CAM,34,76,76,Derby County,3.5,2055
James Milner,England,RB,36,78,78,Liverpool,4.4,2119
Vincent Kompany,Belgium,CB,33,82,82,Anderlecht,10.5,1849
Álvaro Negredo Sánchez,Spain,ST,36,77,77,Cádiz,3.6,1856
Andrey Arshavin,Russia,RW,34,75,75,Kuban' Krasnodar,2.1,1842
Joe Hart,England,GK,35,74,74,Celtic,0.475,1278
Steven Davis,Northern Ireland,CM,37,72,72,Northern Ireland,0,1922
Gerard Piqué Bernabeu,Spain,CB,35,82,82,FC Barcelona,8,1944
Benoît Assou-Ekotto,Cameroon,LB,33,69,69,Metz,0.4,1937
Dante Bonfim Costa Santos,Brazil,CB,38,78,78,Nice,2.5,1810
Gökhan İnler,Switzerland,CM,38,71,71,Adana Demirspor,0.375,1888
Fabio Quagliarella,Italy,ST,39,74,74,Sampdoria,1.4,1831
Ben Foster,England,GK,39,73,73,Wrexham,0.35,1177
Łukasz Fabiański,Poland,GK,37,79,79,West Ham United,1.9,1278
David Josué Jiménez Silva,Spain,CM,36,83,83,Real Sociedad,12,2015
Andreas Ulmer,Austria,LB,36,73,73,Salzburg,0.675,1968
Micah Richards,England,RB,30,68,68,Aston Villa,0.675,1675
José Miguel da Rocha Fonte,Portugal,CB,38,80,80,Lille,3.8,1736
Jorge Andújar Moreno,Spain,RM,35,67,67,UD Ibiza,0.325,1875
Claudio Bravo,Chile,GK,39,79,79,Real Betis,1.9,1488
Cristian Mora,Ecuador,GK,27,64,76,Ecuador,0,1205
Vadis Odjidja-Ofoe,Belgium,CAM,33,74,74,Gent,2.6,1997
 Marcão,Brazil,CB,25,63,71,Juventude,0,1094
Axel Witsel,Belgium,CB,33,79,79,Atlético Madrid,8.5,2010
Ignacio Monreal Eraso,Spain,LB,35,79,79,Real Sociedad,5.5,2003
 Paulinho,Brazil,CM,30,63,72,Flamengo,0,1218
Radja Nainggolan,Belgium,CDM,34,72,72,SPAL,1.1,2068
Javier García,Argentina,GK,35,73,73,Boca Juniors,0.35,1090
Ralf Fährmann,Germany,GK,33,71,71,Schalke 04,0.6,1130
Diego da Silva Costa,Spain,ST,33,75,75,Wolverhampton Wanderers,3.6,1867
Albin Ekdal,Sweden,CM,32,73,73,Spezia,2,1893
Andrea Ranocchia,Italy,CB,34,74,74,Monza,1.4,1555
Diego Godín,Uruguay,CB,36,76,76,Vélez Sarsfield,1.3,1776
Andy Carroll,England,ST,33,70,70,Reading,1,1796
Fabian Delph,England,CM,31,75,75,Everton,3.9,2023
Maxi Moralez,Argentina,CM,35,77,77,Racing Club,4.3,1923
Jérôme Boateng,Germany,CB,33,75,75,Olympique Lyonnais,2.7,1791
Sebastian Giovinco,Italy,CF,34,76,76,Sampdoria,3.5,1833
Daniel Aquino Pintos,Spain,ST,28,65,65,Piast Gliwice,0.55,1646
Mario Martín Rielves,Spain,CM,18,62,81,Real Madrid,1,1644
Carl Ljungberg,Sweden,CM,18,53,70,Degerfors,0.24,1456
Jordan Majchrzak,Poland,ST,17,63,80,Roma,1.2,1454
Gustavo Medina,Paraguay,CDM,18,59,69,Tacuary,0.475,1570
Arash Motaraghebjafarpour,Sweden,RB,19,59,72,Kalmar,0.5,1535
Ibrahim Maza,Germany,CAM,16,59,73,Hertha BSC,0.525,1576
Chemsdine Talbi,Belgium,RW,17,64,83,Club Brugge,1.5,1512
Kyriani Sabbe,Belgium,RB,17,61,80,Club Brugge,0.775,1609
Harry Leeson,Wales,RB,18,52,66,Bristol City,0.18,1272
Thiago Servín,Paraguay,CB,19,63,79,Guaraní,1.2,1402
Guéla Doué,Côte d'Ivoire,CB,19,65,79,Rennes,1.6,1502
Oliver Arblaster,England,CM,18,58,78,Sheffield United,0.55,1573
Mazeed Ogungbo,Republic of Ireland,CB,19,60,68,Crawley Town,0.5,1453
Moses Usor,Nigeria,ST,20,73,80,LASK Linz,6,1858
Gabriel Silva Vieira,Brazil,ST,20,70,82,Santa Clara,3.8,1723
Kristall Máni Ingason,Iceland,ST,20,62,75,Rosenborg,0.975,1641
Sidi Sané,Germany,RM,19,61,78,Schalke 04,0.85,1602
Elias Manoel,Brazil,RW,20,62,73,New York RB,0.875,1545
Nunzio Lella,Italy,CM,21,64,72,Cagliari,1.3,1726
Harrison Sodje,England,CB,18,54,65,Leyton Orient,0.22,1423
Matěj Jurásek,Czech Republic,RM,18,69,80,Slavia Praha,2.9,1798
Dominik Prpić,Croatia,CB,18,63,78,Hajduk Split,1,1396
Álvaro Djaló Dias Fernandes,Spain,LM,22,70,79,Sporting Braga,3.6,1741
Aribim Pepple,Canada,ST,19,57,71,Luton Town,0.4,1481
Yaimar Medina,Ecuador,LW,17,62,78,Independiente del Valle,0.95,1636
Josh Williams,England,RB,19,61,74,Birmingham City,0.75,1611
Alessandro Bianco,Italy,CM,19,63,74,Fiorentina,1,1623
Javier Garrido López,Spain,GK,18,59,79,Leganés,0.55,879
Dom Ballard,England,ST,17,58,78,Southampton,0.55,1469
Juan Larios López,Spain,LB,18,60,77,Southampton,0.6,1497
Djeidi Gassama,Mauritania,LW,18,61,78,AS Eupen,0.825,1586
Cassius Mailula,South Africa,ST,21,67,78,Mamelodi Sundowns,2.3,1601
Yankuba Minteh,Gambia,LW,17,61,78,OB,0.825,1435
Nestor Jiménez,Venezuela,ST,19,62,69,Caracas,0.775,1471
Dawid Drachal,Poland,RM,17,54,74,Miedź Legnica,0.3,1342
Stefan Parkes,England,CB,18,58,76,Fulham,0.5,1459
Marc Bombardó Poyato,Spain,CB,16,56,74,FC Andorra,0.325,1340
Lukáš Ambros,Czech Republic,CAM,18,60,80,VfL Wolfsburg,0.675,1552
Cristian Gutiérrez Vizcaíno,Spain,LB,21,66,76,Málaga,1.9,1694
Alan Di Pippa,Argentina,CDM,22,62,70,Banfield,0.85,1561
Cheick Keita,France,CB,19,68,80,Stade de Reims ,2.7,1436
Naif Al Hadhrami,Qatar,CAM,20,59,68,Qatar,0,1558
Antoine Mendy,France,RB,18,66,79,Nice,1.9,1648
Mudasiru Salifu,Ghana,CM,25,66,70,Al Batin,1.1,1646
Brayan Gil,El Salvador,ST,21,67,78,Deportes Tolima,2.3,1468
Giuseppe Ambrosino,Italy,ST,18,59,73,Cittadella,0.525,1568
Bobby Wales,Scotland,ST,17,61,83,Kilmarnock,1,1437
Jorge Cabezas,Colombia,ST,18,62,79,Independiente Medellín,1,1570
Roman Květ,Czech Republic,CDM,24,71,75,Viktoria Plzeň,2.7,1920
Arne Engels,Belgium,CDM,18,70,81,FC Augsburg,3.3,1872
Rory Wilson,Scotland,ST,16,59,83,Aston Villa,0.7,1395
Anderson Duarte,Uruguay,CAM,18,66,79,Defensor Sporting,2,1624
David Pech,Czech Republic,LM,20,70,76,Slavia Praha,2.3,1943
Christian Rasmussen,Denmark,RW,19,62,77,Ajax,0.95,1524
Andrey N. dos Santos,Brazil,CDM,18,70,84,Chelsea,3.7,1828
